cluster_size,melting_point,number_of_iterations_till_melting,added_energy,atoms_number,latent_energy
3,0,1,0.01,3,0.668505
5,0,1,0.01,3,2.55122
7,0,1,0.01,3,6.44469
8,0,1,0.01,3,9.37766
9,0,1,0.01,3,13.0921
10,0,1,0.01,3,17.6811
11,0,1,0.01,3,23.2378
12,0,1,0.01,3,29.8555
