temp,f_zz,v_z,e_pot,t,v_z_0,rate,v_x,v_y
296.610930531009274,0.003960646495438,143.253442255359261,-11067.151343191089836,0.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
300.136648946388334,1.474618071374714,143.296418288035881,-11069.105651707284778,3000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
299.343929660039748,1.474313703251894,143.339394320712472,-11068.755636056732328,6000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
301.685445387119273,1.517613325440727,143.382370353389092,-11069.438068440525967,9000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
294.591421238028659,1.602085059527853,143.425346386065684,-11066.649946728664872,12000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
297.301292406225627,1.713674852369053,143.468322418742304,-11067.493572130311804,15000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
298.646012461081057,1.757919031324484,143.511298451418895,-11068.016404828063969,18000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
297.368397569735691,1.786593854834924,143.554274484095515,-11067.629403810547956,21000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
300.921461684661551,1.862399300978675,143.597250516772135,-11068.930445230511395,24000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
301.641314064822097,1.922501892693220,143.640226549448727,-11069.082758648146410,27000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
299.614165924677934,1.924996035430296,143.683202582125347,-11068.078354352925089,30000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
296.271565804117188,2.007348497391135,143.726178614801938,-11066.568595459877542,33000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
298.318102191888840,2.077439997415261,143.769154647478558,-11067.221023167745443,36000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
298.614348338176285,2.118447127517936,143.812130680155150,-11067.261894513598236,39000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
303.259843409592634,2.190487465579114,143.855106712831770,-11069.047696576135422,42000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
302.493480096862015,2.260970520194864,143.898082745508390,-11068.752130540875442,45000.000000000000000,143.253442255359261,100000000.000000000000000,311.898590962383878,305.753396578935849
