temp,f_zz,v_z,e_pot,t,v_z_0,rate,v_x,v_y
298.068732587413820,0.039006851965780,287.735211354861633,-190580.937201280292356,0.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
295.661934905352780,1.648975303754546,287.821531918268079,-190584.240493292338215,3000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
300.217179273647787,0.443512971001115,287.907852481674524,-190614.328213441767730,6000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
301.495558537554814,1.787813926504249,287.994173045081027,-190632.876141054875916,9000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
306.345848095818440,1.021326429631581,288.080493608487473,-190672.059731539105996,12000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
303.720136925675945,1.091561634281740,288.166814171893918,-190662.705330031458288,15000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
303.514185348648425,2.451986139596255,288.253134735300364,-190663.569155940436758,18000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
304.263006949040061,1.797631743970247,288.339455298706866,-190674.459279155824333,21000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
301.162097590974099,3.238499402221579,288.425775862113312,-190660.220523439056706,24000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
300.580038123515010,3.940773178811708,288.512096425519758,-190653.979499045351986,27000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
297.954030292649463,4.052442061668609,288.598416988926203,-190634.620684752298985,30000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
296.851394620536439,5.803547886174114,288.684737552332649,-190616.966699892916949,33000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
296.228969033920919,5.567861562246414,288.771058115739152,-190610.226030867488589,36000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
298.049973528636485,6.200009460006583,288.857378679145597,-190616.279980150924530,39000.000000000000000,287.735211354861633,100000000.000000000000000,358.527104314653002,347.156310574009581
